1.27,1.37,,Left,Right
1.3,NA,,NA,1.19
1.245,1.25,,1.15,NA
1.215,1.29,,NA,1.165
1.235,1.225,,1.13,NA
1.25,1.23,,NA,1.13
1.2,1.22,,1.15,NA
1.215,1.27,,NA,1.14
1.235,1.175,,1.14,NA
1.365,1.22,,NA,1.14
1.34,1.25,,1.15,NA
1.195,1.47,,NA,1.155
1.08,1.225,,1.19,NA
1.105,1.11,,NA,1.22
1.125,1.09,,1.15,NA
1.14,1.105,,NA,1.17
1.125,1.14,,1.13,NA
1.15,1.135,,NA,1.13
1.18,1.135,,1.13,NA
1.125,1.165,,NA,1.155
1.135,1.165,,1.205,NA
1.175,1.135,,NA,1.195
1.13,1.14,,1.165,NA
1.175,1.15,,NA,1.17
1.145,1.155,,1.165,NA
1.155,1.16,,NA,1.145
1.06,1.16,,1.145,NA
1.075,1.11,,NA,1.16
1.11,1.07,,1.2,NA
1.19,1.06,,NA,1.225
1.17,1.16,,1.17,NA
1.215,1.195,,NA,1.175
1.205,1.185,,1.185,NA
1.22,1.23,,NA,1.16
1.185,1.205,,1.16,NA
1.14,1.19,,NA,1.125
1.15,1.165,,1.18,NA
1.13,1.165,,NA,1.155
1.13,1.125,,1.175,NA
1.13,1.13,,NA,1.17
1.15,1.12,,1.23,NA
1.13,1.14,,NA,1.185
1.14,1.15,,1.195,NA
1.135,1.14,,NA,1.205
1.15,1.135,,1.16,NA
1.205,1.155,,NA,1.16
1.19,1.14,,1.165,NA
1.155,1.22,,NA,1.16
1.15,1.17,,1.165,NA
1.14,1.17,,NA,1.155
1.13,1.14,,1.155,NA
1.16,1.13,,NA,1.16
1.13,1.125,,1.15,NA
1.16,1.155,,NA,1.16
1.205,1.135,,1.19,NA
1.165,1.195,,NA,1.17
1.165,1.19,,1.19,NA
1.15,1.17,,NA,1.19
1.165,1.14,,,
1.155,1.145,,,
1.145,1.175,,,
1.21,1.16,,,
1.2,1.145,,,
1.165,1.225,,,
